personen_kaufmannsklassenId,personenId,kaufmannsklassenId
1351,47204,9.0
1352,47205,1.0
1353,47207,7.0
1354,46108,7.0
1355,8515,2.0
1356,47208,2.0
1357,47209,2.0
1358,47210,2.0
1359,47211,1.0
1360,47212,1.0
1361,47213,7.0
1362,47214,7.0
1363,47215,7.0
1364,47217,7.0
1365,47218,7.0
1366,47219,7.0
1367,47220,7.0
1368,47221,7.0
1369,47222,7.0
1370,47223,7.0
1371,47224,7.0
1372,47225,7.0
1373,47226,7.0
1374,47227,7.0
1375,47228,7.0
1376,47229,7.0
1377,47230,7.0
1378,47231,7.0
1379,47232,7.0
1380,47233,7.0
1381,47234,7.0
1382,47235,7.0
1383,47236,1.0
1384,47237,7.0
1385,47238,7.0
1386,47239,7.0
1387,47240,7.0
1388,47241,7.0
1389,47242,7.0
1390,47243,7.0
1391,47244,7.0
1392,47245,7.0
1393,47246,7.0
1394,47247,7.0
1395,47248,7.0
1396,47249,7.0
1397,47250,2.0
1398,47251,7.0
1399,47252,2.0
1400,47253,7.0
1401,47254,7.0
1402,47255,7.0
1403,47256,7.0
1404,47257,7.0
1405,47258,7.0
1406,47259,7.0
1407,47260,1.0
1408,47261,7.0
1409,47263,7.0
1410,47264,7.0
1411,47265,7.0
1412,47266,7.0
1413,11577,2.0
1414,47267,2.0
1415,11869,1.0
1416,47269,1.0
1417,47270,1.0
1418,43785,1.0
1419,15308,1.0
1420,17362,2.0
1421,47271,2.0
1422,9481,9.0
1423,47272,9.0
1424,47273,1.0
1425,9690,1.0
1426,47274,1.0
1427,13459,1.0
1428,43806,1.0
1429,43805,1.0
1430,43807,1.0
1431,43808,1.0
1432,43809,1.0
1433,24663,1.0
1434,22880,1.0
1435,47275,1.0
1436,43811,1.0
1437,43846,1.0
1438,43814,1.0
1439,47276,1.0
1440,43815,
1441,43813,1.0
1442,47277,1.0
1443,9414,1.0
1444,43816,1.0
1445,43817,1.0
1446,47278,2.0
1447,24198,7.0
1448,47279,7.0
1449,47280,2.0
1450,47281,2.0
1451,47282,2.0
1452,43835,2.0
1453,43839,1.0
1454,10272,1.0
1455,47283,1.0
1456,27516,1.0
1457,13226,1.0
1458,43836,1.0
1459,43608,2.0
1460,47284,2.0
1461,47285,1.0
1462,44788,1.0
1463,47286,7.0
1464,47287,7.0
1465,47288,7.0
1466,43843,7.0
1467,43844,7.0
1468,279,7.0
1469,47289,7.0
1470,9136,7.0
1471,47290,7.0
1472,10559,7.0
1473,47291,7.0
1474,47292,7.0
1475,43847,7.0
1476,43848,7.0
1477,47293,7.0
1478,43849,7.0
1479,47294,7.0
1480,20719,7.0
1481,47295,7.0
1482,47296,7.0
1483,13158,7.0
1484,43851,7.0
1485,47297,7.0
1486,47298,7.0
1487,43852,7.0
1488,47299,7.0
